,genre1,genre2,style1,style2,style3,style4,style5,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10
100 proof aged in soul,Country,,,,,,,,,,,,,,,,
10000 maniacs,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,College Rock,Jangle Pop,Adult Alternative Pop/Rock,Bittersweet,Cerebral,Earthy,Gentle,Literate,Melancholy,Poignant,Sad,Wistful,Intimate
10cc,Pop/Rock,,Album Rock,Art Rock,Contemporary Pop/Rock,Prog-Rock,Soft Rock,Campy,Irreverent,Witty,Cynical/Sarcastic,Freewheeling,Literate,Whimsical,Complex,Elaborate,Humorous
112,R&B,,Contemporary R&B,,,,,Brash,Reflective,Sexual,Confident,Earnest,Exuberant,Laid-Back/Mellow,Smooth,Dramatic,Romantic
1910 fruitgum company,Pop/Rock,,Bubblegum,AM Pop,,,,Sugary,Carefree,Innocent,Cheerful,Happy,Naive,Whimsical,,,
2 chainz,Rap,,Southern Rap,Gangsta Rap,,,,Boisterous,Druggy,Rousing,Aggressive,Celebratory,Confident,Confrontational,Energetic,Hedonistic,Rowdy
2 pistols,Rap,,Hardcore Rap,,,,,Bravado,Energetic,Hedonistic,Reckless,Slick,Aggressive,Ambitious,Brash,Confident,Rebellious
20 fingers,Electronic,,Club/Dance,Dance-Pop,House,,,,,,,,,,,,
2pac,Rap,,Gangsta Rap,West Coast Rap,G-Funk,Hardcore Rap,,Angst-Ridden,Cathartic,Confrontational,Rebellious,Street-Smart,Tough,Angry,Brash,Confident,Earnest
3 doors down,Pop/Rock,,Alternative Metal,Alternative/Indie Rock,Heavy Metal,Post-Grunge,Contemporary Pop/Rock,Aggressive,Angst-Ridden,Cathartic,Confrontational,Earnest,Earthy,Malevolent,Melancholy,Rousing,Stylish
38 special,Pop/Rock,,Album Rock,Hard Rock,Southern Rock,Arena Rock,Contemporary Pop/Rock,Celebratory,Exciting,Freewheeling,Fun,Gritty,Playful,Rollicking,Wistful,Yearning,Lively
3lw,Pop/Rock,R&B,Teen Pop,Urban,,,,Amiable/Good-Natured,Celebratory,Confident,Energetic,Exuberant,Fun,Innocent,Passionate,Stylish,
3oh3,Pop/Rock,Rap,Pop,Dance-Pop,Underground Rap,Alternative Rap,,Bravado,Aggressive,Brash,Energetic,Intense,Outrageous,Rousing,Stylish,Swaggering,Boisterous
3t,R&B,,Soul,Urban,,,,Agreeable,Dreamy,Romantic,Strong,Calm/Peaceful,Nostalgic,Positive,Relaxed,Sensual,Sentimental
4 non blondes,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Adult Alternative Pop/Rock,Contemporary Pop/Rock,,Cathartic,Quirky,Self-Conscious,Tense/Anxious,Earnest,Rebellious,Angst-Ridden,Reflective,Searching,Witty
4:00 PM,Pop/Rock,,,,,,,,,,,,,,,,
5 seconds of summer,Pop/Rock,,Pop,Teen Pop,Punk-Pop,,,Agreeable,Bright,Confident,Sparkling,Sugary,Sweet,Animated,Lively,Passionate,Playful
50 cent,Rap,,East Coast Rap,Hardcore Rap,Gangsta Rap,,,Menacing,Street-Smart,Tough,Brash,Confident,Aggressive,Bravado,Confrontational,Energetic,Provocative
69 boyz,Rap,Electronic,Bass Music,Party Rap,Southern Rap,Club/Dance,,Celebratory,Confident,Fun,Rowdy,Boisterous,Rambunctious,Hedonistic,Provocative,Sexual,Sleazy
