genre1,Bittersweet,Cerebral,Earthy,Gentle,Literate,Melancholy,Poignant,Sad,Wistful,Campy,Irreverent,Witty,Cynical/Sarcastic,Freewheeling,Whimsical,Complex,Elaborate,Sugary,Carefree,Innocent,Cheerful,Happy,Naive,Aggressive,Angst-Ridden,Cathartic,Confrontational,Earnest,Malevolent,Rousing,Celebratory,Exciting,Fun,Gritty,Playful,Rollicking,Yearning,Amiable/Good-Natured,Confident,Energetic,Exuberant,Passionate,Stylish,Bravado,Brash,Intense,Outrageous,Swaggering,Quirky,Self-Conscious,Tense/Anxious,Rebellious,Reflective,Searching,Agreeable,Bright,Sparkling,Sweet,Animated,Lively,Brittle,Elegant,Intimate,Sensual,Sexual,Slick,Detached,Eerie,Refined,Clinical,Manic,Plaintive,Dramatic,Uplifting,Delicate,Joyous,Light,Sentimental,Sophisticated,Theatrical,Wry,Laid-Back/Mellow,Organic,Druggy,Snide,Somber,Visceral,Hungry,Ambitious,Brassy,Autumnal,Calm/Peaceful,Restrained,Hedonistic,Provocative,Rambunctious,Crunchy,Gutsy,Rowdy,Romantic,Soothing,Smooth,Springlike,Precious,Soft/Quiet,Enigmatic,Insular,Knotty,Brooding,Fiery,Serious,Boisterous,Humorous,Sexy,Lush,Motoric,Pulsing,Shimmering,Circular,Summery,Warm,Giddy,Optimistic,Dreamy,Flashy,Tuneful,Positive,Swinging,Silly,Gleeful,Atmospheric,Cold,Dark,Hypnotic,Spooky,Indulgent,Reckless,Harsh,Trippy,Effervescent,Greasy,Angry,Bleak,Volatile,Nocturnal,Extroverted,Street-Smart,Anguished/Distraught,Ironic,Strong,Lonely,Explosive,Marching,Nostalgic,Acerbic,Reverent,Menacing,Raucous,Uncompromising,Gloomy,Ominous,Paranoid,Defiant,Savage,Sardonic,Pure,Graceful,Relaxed,Urgent,Epic,Sprawling,Lyrical,Hyper,Flowing,Introspective,Reserved,Austere,Ethereal,Nervous/Jittery,Bitter,Weary,Pastoral,Eccentric,Kinetic,Cartoonish,Ebullient,Technical,Angular,Mighty,Turbulent,Airy,Tender,Hostile,Belligerent,Negative,Arid,Spicy,Tough,Reassuring/Consoling,Fierce,Stately,Jovial,Cosmopolitan,Ramshackle,Sleazy,Mysterious,Perky,Nihilistic,Striding,Trashy,Fractured,Elegiac,Meditative,Suffocating,Thoughtful,Satirical,Spiritual,Wintry,Meandering,Difficult,Messy,Unsettling,Powerful,Concise,Bombastic,Fantastic/Fantasy-like,Sprightly,Understated,Feverish,Sparse,Spacey,Driving,Narrative,Grim,Threatening,Outraged,Heroic,Euphoric,Erotic,Declamatory,Desperate,Opulent,Languid,Thrilling,Lazy,Resolute,Dignified/Noble,Rustic,Mystical,Narcotic,Mechanical,Suspenseful,Devotional,Rhapsodic
Blues,4,0,31,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,15,6,0,0,29,11,19,0,28,12,5,9,19,0,8,0,0,0,4,0,0,0,4,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,10,0,0,0,9,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Children's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Classical,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,15,0,16,0,0,0,0,0,0,4,0,0,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Comedy/Spoken,0,0,0,10,0,0,0,0,0,0,0,17,8,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,11,7,0,0,0,0,0,4,0,0,0,6,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Country,292,0,233,245,57,45,129,0,23,0,3,12,0,51,18,11,0,3,54,60,164,18,3,6,0,40,10,388,0,70,69,4,154,19,89,90,70,722,204,100,57,98,42,23,55,15,0,21,36,0,0,18,159,18,16,94,0,98,0,82,0,8,147,14,0,100,0,0,105,0,0,105,40,0,22,15,71,310,34,55,12,270,157,0,0,0,0,0,15,26,31,28,0,6,0,15,0,8,17,151,73,59,0,3,27,4,0,0,31,0,0,64,40,3,11,0,0,0,0,32,89,0,0,8,0,0,0,0,14,0,40,0,0,0,0,0,11,0,0,5,6,0,0,0,0,0,24,0,0,0,0,0,0,10,11,9,0,0,0,5,0,0,0,0,0,0,0,59,0,0,0,10,0,0,0,33,0,0,0,0,8,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,5,13,0,0,0,0,0,0
Easy Listening,12,0,0,49,0,0,15,0,6,0,0,0,0,5,0,0,20,0,8,22,29,29,0,0,0,0,0,9,0,0,0,0,4,0,10,0,0,48,11,5,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,6,0,16,0,0,0,49,4,18,0,0,0,0,11,0,0,0,0,0,17,0,3,23,13,3,0,37,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,27,38,36,0,0,8,0,0,0,0,0,0,0,6,0,11,0,0,0,0,7,7,0,0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic,10,23,0,0,4,0,0,7,8,33,0,12,0,59,0,29,7,0,67,0,9,18,0,56,0,11,16,8,0,30,229,23,102,0,20,0,6,30,65,164,98,4,70,0,30,47,0,16,0,0,4,0,9,11,15,61,27,0,20,43,29,0,0,20,20,20,78,14,6,78,7,10,46,0,9,22,0,8,22,12,0,8,0,5,0,0,9,0,0,0,0,22,12,10,0,9,9,0,0,3,4,17,0,8,9,14,0,0,11,6,7,48,16,34,10,0,0,0,0,0,10,9,0,28,14,0,7,0,10,5,19,10,0,123,0,11,0,0,19,6,0,0,19,0,62,4,0,0,9,11,0,3,10,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,12,0,10,0,9,0,0,0,6,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,0,0,0,0,8,3,9,8,0,0
Folk,23,0,35,54,26,17,42,0,36,11,0,0,0,21,5,0,0,0,26,7,27,6,0,0,0,0,0,43,0,0,0,0,10,7,6,0,8,57,0,0,25,0,0,0,0,10,0,0,5,0,0,0,35,11,0,0,0,0,0,9,0,0,61,0,0,0,0,0,8,0,0,34,0,0,16,0,0,0,0,3,0,35,27,0,0,0,0,0,0,0,51,17,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International,11,0,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jazz,0,18,23,37,6,6,12,0,0,0,0,0,0,20,6,11,0,0,14,4,0,0,0,7,0,0,0,11,0,13,0,0,0,6,12,10,0,64,3,18,7,23,20,4,0,0,0,0,0,0,0,0,8,10,0,10,0,16,0,11,0,34,36,0,0,0,0,0,37,0,0,0,0,0,0,11,0,0,23,0,0,27,15,0,0,9,7,0,17,0,0,35,0,0,0,0,0,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
